iter	RMSE
0	598.6827193
1	582.997863
2	568.9134996
3	554.6658809
4	541.6174793
5	530.6292692
6	518.9299701
7	509.6005125
8	498.9883142
9	489.8676516
10	481.6498509
11	474.3005421
12	467.6357077
13	460.2148992
14	453.3771816
15	447.0461553
16	441.1190717
17	435.6096202
18	430.1748362
19	426.0357549
20	421.2140351
21	416.9222322
22	413.4613187
23	409.716993
24	405.9692097
25	403.1077541
26	400.1734794
27	397.8956355
28	395.3836683
29	392.8432104
30	390.3424206
31	388.5062564
32	386.1868637
33	384.0237429
34	382.3621084
35	380.8727869
36	378.7429656
37	377.1733593
38	375.6053339
39	374.1909863
40	372.4425503
41	371.2177329
42	369.9953912
43	368.9438847
44	367.6680138
45	366.1570825
46	364.392008
47	363.3088275
48	362.5641346
49	361.3928233
50	360.0242308
51	359.3763798
52	358.4672964
53	357.8885572
54	357.1435348
55	356.4924237
56	355.8610015
57	355.1826302
58	354.3155926
59	353.6501841
60	352.9582035
61	352.5741222
62	351.8389586
63	351.2750207
64	350.6733202
65	350.3411425
66	349.660788
67	349.2718786
68	348.1996843
69	347.1855433
70	346.6433416
71	346.2313323
72	345.3581635
73	344.7721231
74	344.4066658
75	343.9604051
76	343.4110133
77	343.1020939
78	342.7471024
79	342.353403
80	341.8792311
81	341.4457611
82	341.1158415
83	340.3713225
84	339.6007399
85	339.471617
86	339.2538753
87	338.960052
88	338.556782
89	337.9703663
90	337.8149596
91	337.0865189
92	336.9294116
93	336.4556163
94	336.2294436
95	336.1591029
96	335.9664485
97	335.8358154
98	335.6587663
99	335.3025691
100	335.0395446
101	334.696057
102	334.4460433
103	333.8917849
104	333.6546434
105	333.4827379
106	333.2436937
107	333.0934398
108	332.8986079
109	332.6266419
110	332.4084188
111	331.7356174
112	331.4521236
113	331.3365961
114	331.0362022
115	330.6767564
116	330.4627561
117	330.3308117
118	330.2171955
119	330.0552097
120	329.8732375
121	329.5294705
122	329.4078923
123	329.2044194
124	329.1852258
125	328.7796328
126	328.6895427
127	328.0965773
128	327.9053864
129	327.6407254
130	327.3561219
131	326.8966936
132	326.722535
133	326.6629655
134	326.0719938
135	325.5766695
136	325.2876684
137	325.1953687
138	324.8715167
139	324.6024926
140	324.507742
141	324.1442307
142	323.5548872
143	323.2345242
144	323.0726126
145	322.5492562
146	322.2829808
147	322.0310943
148	321.8469525
149	321.3805854
150	320.9973668
151	320.5046511
152	320.383518
153	320.3650278
154	320.1829877
155	320.0040761
156	319.2124282
157	319.010782
158	318.4786041
159	318.3268693
160	318.2040163
161	317.9661079
162	317.8790218
163	317.8680235
164	317.7232106
165	317.2876465
166	317.0452775
167	316.9325858
168	316.7240317
169	316.4441501
170	316.1258876
171	316.0457267
172	315.866289
173	315.5608643
174	315.2836278
175	315.1941928
176	315.0136869
177	314.8160257
178	314.6749904
179	314.3023088
180	314.1815074
181	314.0779839
182	314.0029226
183	313.9187989
184	313.7622992
185	313.302462
186	313.2739562
187	313.151709
188	313.0303389
189	312.8230115
190	312.7178824
191	312.5338093
192	312.2092038
193	311.8116263
194	311.3877907
195	311.2941669
196	310.9090825
197	310.8566543
198	310.5835124
199	310.3185963
200	310.2683778
201	309.8723715
202	309.4636512
203	309.0547521
204	308.8424108
205	308.7390581
206	308.5628076
207	308.4622829
208	307.6186877
